Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Construction Science,Bachelors,67400,108500,63
Political Communication,Bachelors,48800,108500,55
Marketing & International Business,Bachelors,52500,108400,34
Software Development,Bachelors,65500,108400,45
Biochemistry & Molecular Biology,Bachelors,53900,108100,71
Computing,Bachelors,63500,108000,53
Construction Management,Bachelors,63200,108000,58
Accounting & Taxation,Bachelors,55600,107800,41
Building Construction (BC),Bachelors,67200,107800,52
International & Comparative Politics,Bachelors,45700,107800,53
Civil & Environmental Engineering,Bachelors,65300,107500,67
Business Information Systems,Bachelors,65000,107400,43
Financial Economics,Bachelors,63300,107200,41
Sales & Business Marketing,Bachelors,55900,107200,51
Plastics Engineering,Bachelors,68400,107100,58
Information Technology Management,Bachelors,63400,107000,48
Polymer Science & Engineering,Bachelors,74500,106900,
Informatics,Bachelors,70300,106800,42
Computer Management Information Systems (CMIS),Bachelors,55700,106600,47
Information Systems (IS),Bachelors,63900,106600,44
Agricultural Economics,Bachelors,55600,106300,58
Data Processing,Bachelors,65600,106200,45
European Studies,Bachelors,47500,106100,46
Biosystems Engineering,Bachelors,64700,106000,74
Nuclear Engineering Technology (NET),Bachelors,83500,106000,62
Economics & Political Science,Bachelors,57100,105700,47
Global & International Studies,Bachelors,50000,105700,46
Organic Chemistry,Bachelors,44500,105600,
Industrial Hygiene,Bachelors,58600,105500,55
Safety Science,Bachelors,62400,105500,
Commerce,Bachelors,66800,105400,40
Rhetoric,Bachelors,51600,105400,44
Business Computer Information Systems (BCIS),Bachelors,64000,105300,40
Finance,Bachelors,60200,105200,42
Plastics Engineering Technology,Bachelors,66900,105100,28
Molecular Biology,Bachelors,54100,105000,67
Environmental Engineering,Bachelors,62600,104800,62
International Management,Bachelors,54100,104800,51
Computer Information Systems,Bachelors,59400,104700,42
Corporate Finance,Bachelors,63600,104300,43
Genetics,Bachelors,52200,104100,72
International Business,Bachelors,55300,104100,39
Agricultural Engineering (AE),Bachelors,63100,104000,63
Consumer Economics,Bachelors,53700,103800,40
Finance & Marketing,Bachelors,56800,103700,46
Computer Information Systems (CIS),Bachelors,60500,103500,47
Business Finance,Bachelors,57200,103300,42
Psychobiology,Bachelors,49600,103100,65
Strategic Management,Bachelors,66200,103100,47
Construction Trades,Bachelors,61900,103100,48
Operations Management (OM),Bachelors,61500,103000,45
Entrepreneurship & Leadership,Bachelors,57100,102900,43
Electrical Engineering Technology (EET),Bachelors,66300,102800,47
Computer Science & Information Technology,Bachelors,66000,102700,50
Food Marketing,Bachelors,56300,102700,24
International Marketing,Bachelors,59000,102600,22
Network Engineering,Bachelors,60700,102600,55
Building Construction Management,Bachelors,61300,102400,63
Engineering Technology (ET),Bachelors,58400,102300,47
International Relations,Bachelors,52800,102200,49
Management & Finance,Bachelors,56800,102200,59
