Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Exercise Physiology,Bachelors,44100,72200,76
Radiography,Bachelors,55300,72200,85
Archaeology,Bachelors,45900,72100,46
Art Administration,Bachelors,40200,72100,56
Hotel & Restaurant Tourism,Bachelors,44300,72100,49
Illustration,Bachelors,45200,72100,36
Arts & Science,Bachelors,45700,71900,
Health,Bachelors,44200,71900,73
Turfgrass Management,Bachelors,53100,71900,51
Animal Science & Management,Bachelors,44200,71800,55
SocialStudies,Bachelors,45800,71700,57
Human Resources Development,Bachelors,48600,71600,50
Speech Pathology & Audiology,Bachelors,44100,71600,78
Clinical Laboratory Science,Bachelors,55100,71500,83
Forensic Science,Bachelors,46000,71500,64
Health Administration,Bachelors,42700,71500,66
Geomatics,Bachelors,52300,71400,70
Media Communication,Bachelors,47000,71400,45
Health Management,Bachelors,45100,71300,
Commercial Photography,Bachelors,43800,71300,23
Fashion Design & Marketing,Bachelors,45300,71100,44
Mass Media,Bachelors,40300,71100,49
Medical Technology,Bachelors,56500,71000,81
Respiratory Therapy,Bachelors,54500,70900,82
Theater,Bachelors,44600,70700,50
Forensic Psychology,Bachelors,43000,70600,54
Kinesiology,Bachelors,44800,70600,66
Performing Arts,Bachelors,45700,70500,57
Psychology & Social Behavior,Bachelors,45800,70500,59
Religion,Bachelors,44400,70500,59
Radio & Television,Bachelors,43100,70500,41
Technology Teacher Education,Bachelors,47700,70400,57
Educational Studies (ED),Bachelors,40300,70200,65
Music,Bachelors,44300,70200,55
Business Leadership,Bachelors,50100,70200,45
Drafting & Design,Bachelors,51000,70100,69
Plant Sciences,Bachelors,48000,70100,60
Criminal Justice,Bachelors,42800,69800,56
Web Design,Bachelors,49900,69800,25
Graphic Design,Bachelors,45100,69700,37
Nutrition,Bachelors,48100,69600,65
Nutrition & Dietetics,Bachelors,50800,69600,72
Missions,Bachelors,41300,69500,
Dramatic Art,Bachelors,41400,69400,
Fashion Marketing & Management,Bachelors,47700,69100,30
Interdisciplinary Studies (IS),Bachelors,44600,68900,56
Hospitality & Tourism,Bachelors,44200,68800,41
Human Ecology,Bachelors,42100,68800,54
Ornamental Horticulture,Bachelors,46000,68800,69
Physical Therapist Assistant Studies,Bachelors,49900,68800,85
Public Health (PH),Bachelors,46000,68800,69
Art Therapy,Bachelors,41100,68600,80
Dietetics,Bachelors,51300,68600,74
Landscape Management,Bachelors,52300,68600,
Applied Sociology,Bachelors,42200,68500,57
Fine Arts,Bachelors,43200,68500,44
Modern Language Spanish,Bachelors,43800,68500,52
Women's Studies,Bachelors,45200,68500,59
Social & Criminal Justice,Bachelors,44800,68500,59
Animal Science,Bachelors,41200,68300,64
New Media,Bachelors,46000,68300,33
Textiles & Clothing,Bachelors,45100,68300,47
Event Management,Bachelors,41700,68200,40
Family & Consumer Science,Bachelors,42600,68000,59
Speech-Language Pathology,Bachelors,44100,67900,70
Technical Theatre,Bachelors,41000,67600,42
Education,Bachelors,44100,67500,65
Foods & Nutrition,Bachelors,47000,67500,68
Recreation Management,Bachelors,42300,67500,58
Business & Healthcare Management,Bachelors,46900,67300,69
Agricultural Teacher Education,Bachelors,53500,67100,
Music Composition,Bachelors,44000,66900,51
Art,Bachelors,43400,66700,46
Psychology & Sociology,Bachelors,42800,66700,53
Drawing & Painting,Bachelors,42800,66600,48
Nonprofit Management,Bachelors,42300,66300,79
Small Business Management,Bachelors,47100,66200,38
Behavioral Science,Bachelors,43000,66000,62
Horticulture & Agronomy,Bachelors,52500,65900,
Health Services Administration,Bachelors,42700,65800,63
Multidisciplinary Studies,Bachelors,41800,65800,53
Restaurant & Food Service Management,Bachelors,43900,65800,45
Consumer Affairs,Bachelors,51000,65700,43
Training and Development,Bachelors,52600,65600,
Health & Exercise Science,Bachelors,41700,65600,67
Electronic Media,Bachelors,45300,65600,37
Environmental Resource Management,Bachelors,48700,65500,65
Theatre Arts,Bachelors,43500,65300,51
Applied Linguistics,Bachelors,46800,65200,44
African American & African Studies,Bachelors,46400,65100,60
Exercise & Sports Science,Bachelors,42600,65100,70
General Studies,Bachelors,43600,65100,52
Justice Studies,Bachelors,45300,65100,50
Video Production,Bachelors,42800,65100,33
Graphic Arts,Bachelors,42700,64900,41
Physical Education Teaching,Bachelors,42200,64900,69
Health Services Management,Bachelors,41600,64800,83
Physical Education & Exercise Science,Bachelors,44100,64800,72
Drawing,Bachelors,37400,64800,39
Exercise Science,Bachelors,41400,64700,73
Printmaking,Bachelors,38400,64300,40
Sports Administration,Bachelors,43300,64300,47
Theology,Bachelors,42800,64300,68
Interior Design & Merchandising,Bachelors,43700,64200,37
Recreation & Leisure Studies,Bachelors,40300,64200,60
Human Development,Bachelors,43700,64100,64
Music Industry,Bachelors,45800,64100,38
Wildlife Management,Bachelors,39700,64100,49
Supervision & Management,Bachelors,41700,64100,57
Health & Wellness,Bachelors,40100,64000,70
Culinary Arts & Food Service Management,Bachelors,41300,64000,50
Mortuary Science,Bachelors,43500,64000,85
Clinical Psychology,Bachelors,43000,63900,65
Community Health Education,Bachelors,42600,63900,75
Dance,Bachelors,45100,63900,62
Speech Pathology,Bachelors,42800,63700,69
Gender Studies,Bachelors,45500,63600,55
Secondary English Teacher Education,Bachelors,42000,63600,64
Photography,Bachelors,43800,63500,38
English Teacher Education,Bachelors,43300,63100,57
Paralegal Studies,Bachelors,39600,63100,50
Social Studies Teacher Education,Bachelors,43400,63100,65
Teaching English as a Second Language (ESL),Bachelors,42800,63000,73
Music Teacher Education,Bachelors,42000,63000,62
Health Promotion,Bachelors,42300,62800,69
Recording Arts,Bachelors,44800,62800,48
Photojournalism,Bachelors,41900,62600,59
Recreation Administration,Bachelors,47000,62500,71
Radio Broadcasting,Bachelors,46300,62400,33
Sculpture,Bachelors,40300,62200,47
Painting,Bachelors,40700,62000,44
Psychology & Social Sciences,Bachelors,42600,62000,68
Health & Physical Education Teaching,Bachelors,38700,61900,65
Organizational Administration,Bachelors,45000,61800,
Tourism Management,Bachelors,43100,61600,38
Instrumental Music Teacher Education,Bachelors,41700,61600,65
Emergency Medical Services (EMS),Bachelors,44200,61400,
Community Health,Bachelors,45400,61300,72
Health & Human Performance,Bachelors,38100,61100,68
Music Therapy,Bachelors,43100,60700,93
Social Services,Bachelors,39900,60500,82
Rehabilitation Services,Bachelors,35800,60200,79
Horticulture,Bachelors,43000,60100,59
University Studies,Bachelors,42400,60000,49
Church Ministries,Bachelors,40000,59900,79
Communicative Disorders,Bachelors,47400,59800,73
Social Science Teacher Education,Bachelors,45400,59800,
Wildlife Biology,Bachelors,42900,59800,60
Community Development,Bachelors,44600,59400,63
Psychology & Human Services,Bachelors,35600,59400,
Athletic Training,Bachelors,42100,59300,75
Biblical Studies,Bachelors,40500,59000,72
Biblical Studies & Practical Ministries,Bachelors,36400,58900,76
Counseling Psychology,Bachelors,42700,58900,64
Recreational Studies,Bachelors,42100,58900,69
Teaching,Bachelors,42000,58900,72
Home Economics,Bachelors,41800,58700,69
Library & Information Science,Bachelors,48200,58700,48
Human Development & Family Studies,Bachelors,40300,58600,66
Tourism & Travel,Bachelors,42200,58600,43
Landscape Design,Bachelors,49000,58500,63
Ceramics,Bachelors,42200,58300,51
Clinical Social Work (CSW),Bachelors,43500,58300,
Parks & Recreation Management,Bachelors,42700,58300,56
Pastoral Ministry,Bachelors,38700,58000,83
Vocal Performance,Bachelors,42600,58000,65
Art Teacher Education,Bachelors,40300,57500,62
Bible Studies & Theology,Bachelors,40000,57500,67
Forensic Accounting,Bachelors,48300,57200,48
Communication Sciences & Disorders,Bachelors,43300,57100,76
Legal Assistant Studies,Bachelors,38100,57100,38
Special Education,Bachelors,41300,57000,76
Conservation Biology,Bachelors,42800,56900,57
Family Studies,Bachelors,39200,56800,68
Christian Ministry,Bachelors,38100,56400,79
Speech & Hearing,Bachelors,43300,56400,76
Health and Human Services,Bachelors,43500,56300,65
Musical Theatre,Bachelors,43500,56100,50
History Teacher Education,Bachelors,47700,55600,46
Developmental Psychology,Bachelors,38200,55000,
Therapeutic Recreation,Bachelors,39500,54900,82
Applied Behavioral Science,Bachelors,40500,54600,50
Community & Human Services,Bachelors,42400,54600,80
Social Work (SW),Bachelors,38600,54600,76
Office Administration,Bachelors,38700,54500,65
Ministry,Bachelors,36700,54300,81
Family & Community Services,Bachelors,42200,54300,74
Youth Ministry,Bachelors,37400,54200,76
Elementary Education,Bachelors,40000,53800,69
Voice & Opera,Bachelors,34500,53300,57
Christian Education,Bachelors,38700,53200,82
Conflict Resolution,Bachelors,44400,53200,50
Baking & Pastry Arts,Bachelors,37500,53000,44
Human Services Management,Bachelors,45600,53000,
Hospitality & The Culinary Arts,Bachelors,38800,52900,
Human Services (HS),Bachelors,38700,52500,71
Counseling,Bachelors,39900,51700,78
Recreational Therapy,Bachelors,38400,51600,84
Child Development,Bachelors,37400,51400,73
Educational Psychology,Bachelors,36900,51200,
Middle School Education,Bachelors,41200,50800,73
Mental Health Counseling,Bachelors,36100,50000,78
Early Childhood & Elementary Education,Bachelors,38000,48400,77
Equine Studies,Bachelors,35700,47100,50
Addiction Studies,Bachelors,38000,47000,84
Child & Family Studies,Bachelors,36400,46500,73
Rehabilitation Counseling,Bachelors,39200,46400,
Outdoor Education,Bachelors,37400,46300,52
Early Childhood Education,Bachelors,36100,45400,78
Mental Health,Bachelors,36900,45000,
Medical Assisting,Bachelors,36000,44800,
Metalsmithing,Bachelors,40000,40300,33
